short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
Luis Alberto,26,183,74,Spain,Lazio,84,86,Right,Medium/Medium,,CM,2016-08-31,2022,,,71,76,84,85,49,59,"Beat Offside Trap, Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite"
Alex Telles,26,181,71,Brazil,FC Porto,84,86,Left,High/High,"#Engine, #Crosser",LB,2016-07-13,2021,,,85,72,84,81,80,76,"Diver, Early Crosser, Giant Throw-in"
J. Pavlenka,27,196,81,Czech Republic,SV Werder Bremen,84,86,Right,Medium/Medium,,GK,2017-07-01,2021,SUB,23,,,,,,,Flair Passes
S. de Vrij,27,189,78,Netherlands,Inter,84,85,Right,Medium/High,,CB,2018-07-01,2023,SUB,5,66,41,62,68,86,74,"Leadership, Long Passer (CPU AI Only)"
Felipe Anderson,26,175,70,Brazil,West Ham United,84,85,Right,High/Medium,#Dribbler,RM,2018-07-15,2022,,,89,77,79,89,55,61,"Beat Offside Trap, Selfish, Argues with Officials, Early Crosser"
Pepe,36,188,81,Portugal,FC Porto,84,84,Right,Medium/High,,RCB,2019-01-08,2021,RCB,3,67,51,57,60,85,85,"Injury Prone, Avoids Using Weaker Foot"
João Moutinho,32,170,61,Portugal,Wolverhampton Wanderers,84,84,Right,High/High,#Playmaker  ,LCM,2018-07-24,2020,SUB,8,56,75,85,82,71,67,Finesse Shot
S. Ruffier,32,188,93,France,AS Saint-Étienne,84,84,Right,Medium/Medium,,GK,2011-07-11,2021,,,,,,,,,Flair Passes
S. Sirigu,32,192,80,Italy,Torino,84,84,Right,Medium/Medium,,GK,2017-06-27,2022,SUB,1,,,,,,,"Diver, Flair"
M. Hamšík,31,183,73,Slovakia,Dalian YiFang FC,84,84,Right,High/Medium,#Playmaker  ,CAM,2019-02-14,2021,,,69,77,83,83,72,69,"Argues with Officials, Finesse Shot, Giant Throw-in"
Sokratis,31,186,85,Greece,Arsenal,84,84,Right,Medium/High,"#Tackling , #Strength",RCB,2018-07-02,2021,RCB,19,72,51,52,60,84,83,"Diver, Avoids Using Weaker Foot"
Lucas Leiva,32,179,78,Brazil,Lazio,84,84,Right,Medium/High,#Tactician ,LDM,2017-07-18,2022,,,62,66,76,78,83,73,Injury Prone
M. Özil,30,180,76,Germany,Arsenal,84,84,Left,Medium/Low,#Playmaker  ,CAM,2013-09-02,2021,,,70,72,86,84,24,56,"Beat Offside Trap, Selfish, Finesse Shot"
Javi Martínez,30,192,86,Spain,FC Bayern München,84,84,Right,Low/Medium,"#Tackling , #Tactician ",SUB,2012-08-29,2021,,,48,55,69,63,86,83,"Power Free-Kick, Injury Prone, Giant Throw-in"
Y. Sommer,30,183,79,Switzerland,Borussia Mönchengladbach,84,84,Right,Medium/Medium,,GK,2014-07-01,2021,GK,1,,,,,,,"Swerve Pass, Acrobatic Clearance"
E. Džeko,33,193,80,Bosnia Herzegovina,Roma,84,84,Right,Medium/Medium,#Poacher,ST,2015-07-01,2022,,,60,84,71,75,46,73,"Avoids Using Weaker Foot, Beat Offside Trap"
G. Wijnaldum,28,175,69,Netherlands,Liverpool,84,84,Right,High/High,#Engine,LCM,2016-07-22,2021,CAM,8,77,73,78,84,76,78,Selfish
I. Perišić,30,186,80,Croatia,FC Bayern München,84,84,Right,Medium/Medium,,SUB,,2020,,,84,80,78,82,62,77,"Selfish, Early Crosser"
M. Mandžukić,33,190,85,Croatia,Juventus,84,84,Right,High/High,"#Aerial Threat, #Strength",ST,2015-07-01,2021,,,68,80,71,75,65,86,"Injury Prone, Selfish, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Skilled Dribbling"
A. Vidal,32,180,75,Chile,FC Barcelona,84,84,Right,High/High,"#Engine, #Tackling ",SUB,2018-08-06,2021,LCM,8,67,79,80,78,85,86,"Injury Prone, Long Passer (CPU AI Only), Skilled Dribbling"
J. Boateng,30,192,90,Germany,FC Bayern München,84,84,Right,Medium/Medium,"#Tackling , #Strength",SUB,2011-07-14,2021,,,66,50,72,65,84,82,"Inflexible, Power Free-Kick, Leadership"
Azpilicueta,29,178,76,Spain,Chelsea,84,84,Right,Medium/Medium,"#Tackling , #Tactician ",RB,2012-08-24,2022,SUB,14,70,55,77,73,85,76,"Inflexible, Diver, Dives Into Tackles (CPU AI Only), Leadership, Giant Throw-in"
José Callejón,32,178,73,Spain,Napoli,84,84,Right,High/High,#Engine,RM,2013-07-11,2020,,,89,78,75,83,47,64,"Diver, Early Crosser"
I. Gündoğan,28,180,80,Germany,Manchester City,84,84,Right,High/Medium,#Playmaker  ,SUB,2016-07-01,2023,LCM,21,66,74,84,84,72,71,"Power Free-Kick, Selfish, Finesse Shot, Crowd Favourite"
Paulinho,30,183,80,Brazil,Guangzhou Evergrande Taobao FC,84,84,Right,High/High,#Engine,LCM,2019-01-15,2023,,,72,81,77,80,78,85,"Long Throw-in, Injury Prone, Beat Offside Trap, Argues with Officials"
K. Walker,29,183,70,England,Manchester City,84,84,Right,High/High,"#Speedster, #Engine",RB,2017-07-14,2024,RB,2,91,63,76,77,81,81,"Inflexible, Early Crosser"
Canales,28,176,65,Spain,Real Betis,84,84,Left,High/Medium,,RCM,2018-07-03,2022,SUB,11,78,79,83,81,51,66,"Power Free-Kick, Selfish, Argues with Officials"
Douglas Costa,28,172,70,Brazil,Juventus,84,84,Left,High/Medium,"#Speedster, #Dribbler, #Acrobat",SUB,2018-07-01,2022,,,94,73,79,91,43,61,"Selfish, Argues with Officials, Early Crosser"
Pizzi,29,177,72,Portugal,SL Benfica,84,84,Right,High/Medium,#Playmaker  ,RM,2013-07-30,2023,SUB,21,77,77,84,81,63,68,"Diver, Finesse Shot, Crowd Favourite"
D. Tadić,30,181,76,Serbia,Ajax,84,84,Left,Medium/Medium,,ST,2018-07-03,2023,,,68,80,84,85,41,71,"Diver, Avoids Using Weaker Foot, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
J. Iličić,31,190,79,Slovenia,Atalanta,84,84,Left,Medium/Medium,#Distance Shooter,RS,2017-07-05,2021,RM,7,70,84,84,85,43,67,"Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite"
R. Mahrez,28,179,67,Algeria,Manchester City,84,84,Left,Medium/Medium,"#Dribbler, #Acrobat",SUB,2018-07-10,2023,,,80,92,79,95,38,59,"Injury Free, Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite"
E. Višća,29,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,84,84,Right,High/Medium,#Acrobat,RM,2011-08-16,2021,,,88,79,79,83,47,64,"Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Giant Throw-in"
Felipe,30,190,83,Brazil,Atlético Madrid,84,84,Right,Medium/High,#Strength,LCB,2019-07-01,2022,,,64,41,57,60,84,87,"Diver, Long Passer (CPU AI Only)"
Fabián,23,189,70,Spain,Napoli,83,90,Left,Medium/Medium,,LCM,2018-07-05,2023,,,65,78,78,83,74,69,Argues with Officials
A. Romagnoli,24,188,78,Italy,Milan,83,89,Left,Medium/High,,LCB,2015-08-11,2022,SUB,13,63,40,55,66,85,79,Leadership
G. Lo Celso,23,177,68,Argentina,Tottenham Hotspur,83,89,Left,High/Medium,,SUB,,2020,RCM,20,77,78,82,85,65,72,"Beat Offside Trap, Selfish, Argues with Officials, Early Crosser, Finesse Shot, Crowd Favourite"
T. Alexander-Arnold,20,180,69,England,Liverpool,83,89,Right,High/Medium,#Crosser,RB,2015-10-07,2024,SUB,14,80,62,82,78,78,70,"Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials"
L. Jović,21,182,85,Serbia,Real Madrid,83,89,Right,Medium/Medium,#Poacher,SUB,2019-07-01,2024,,,77,82,68,81,29,74,"Speed Dribbler (CPU AI Only), Outside Foot Shot"
A. Milik,25,186,78,Poland,Napoli,83,88,Left,Medium/Medium,"#Poacher, #Clinical Finisher",RS,2016-08-02,2021,SUB,7,69,85,64,76,39,74,"Power Free-Kick, Speed Dribbler (CPU AI Only)"
A. Martial,23,184,76,France,Manchester United,83,88,Right,Medium/Low,#Dribbler,ST,2015-09-01,2024,SUB,19,89,81,72,86,41,71,"Beat Offside Trap, Selfish, Early Crosser, Crowd Favourite"
Anderson Talisca,25,190,80,Brazil,Guangzhou Evergrande Taobao FC,83,88,Left,High/Low,#FK Specialist,RW,2019-01-01,2022,,,77,82,80,81,57,72,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot"
J. Tah,23,195,97,Germany,Bayer 04 Leverkusen,83,88,Right,Medium/Medium,"#Aerial Threat, #Strength",RCB,2015-07-16,2023,SUB,5,71,27,59,57,83,81,
C. Tolisso,24,181,81,France,FC Bayern München,83,88,Right,High/Medium,,RCM,2017-07-01,2022,SUB,12,69,77,79,78,76,79,"Leadership, Argues with Officials, Long Passer (CPU AI Only)"
Pau López,24,189,77,Spain,Roma,83,88,Left,Medium/Medium,,GK,2019-07-10,2024,SUB,23,,,,,,,
Gonçalo Guedes,22,179,68,Portugal,Valencia CF,83,88,Right,High/Medium,"#Speedster, #Dribbler",LM,2018-08-29,2024,SUB,17,90,79,76,84,36,70,"Selfish, Argues with Officials, Early Crosser, Crowd Favourite"
N. Pépé,24,183,73,Ivory Coast,Arsenal,83,88,Left,High/Low,"#Speedster, #Dribbler, #Acrobat",RM,2019-08-01,2024,SUB,19,91,81,75,85,33,67,"Injury Free, Beat Offside Trap, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite"
M. Akanji,23,187,91,Switzerland,Borussia Dortmund,83,88,Right,Medium/High,,RCB,2018-01-15,2022,CB,5,78,45,68,72,83,80,
M. Rashford,21,186,70,England,Manchester United,83,88,Right,High/High,"#Speedster, #Engine, #Acrobat",LM,2014-07-01,2023,SUB,11,92,82,73,84,45,77,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Giant Throw-in, Crowd Favourite"
J. Stones,25,188,70,England,Manchester City,83,87,Right,High/Medium,,RCB,2016-08-09,2022,RCB,5,68,36,70,72,84,77,Inflexible
A. Rabiot,24,192,80,France,Juventus,83,87,Left,High/Medium,,LCM,2019-07-01,2023,,,73,74,79,80,77,80,
Grimaldo,23,171,69,Spain,SL Benfica,83,87,Left,High/Medium,,LB,2016-01-04,2021,,,85,63,79,84,77,71,Early Crosser
T. Werner,23,180,75,Germany,RB Leipzig,83,87,Right,High/Medium,#Speedster,LS,2016-07-01,2020,SUB,9,92,81,67,83,35,69,Early Crosser
T. Lemar,23,171,62,France,Atlético Madrid,83,87,Left,Medium/Medium,,LM,2018-07-01,2023,,,83,76,82,85,59,67,"Beat Offside Trap, Crowd Favourite"
D. Sánchez,23,187,79,Colombia,Tottenham Hotspur,83,87,Right,Medium/High,,SUB,2017-08-26,2024,LCB,23,74,45,57,66,83,81,
Marco Asensio,23,182,76,Spain,Real Madrid,83,87,Left,High/Medium,,SUB,2015-07-01,2023,RW,20,81,80,82,84,43,62,Argues with Officials
L. Digne,25,178,74,France,Everton,83,86,Left,High/Medium,,LB,2018-08-01,2023,,,78,69,79,79,80,76,"Inflexible, Injury Prone, Argues with Officials"
J. Draxler,25,187,77,Germany,Paris Saint-Germain,83,86,Right,Medium/Medium,#Dribbler,SUB,2017-01-03,2021,SUB,7,77,79,81,86,55,63,"Beat Offside Trap, Selfish, Finesse Shot, Crowd Favourite"
J. Pickford,25,185,77,England,Everton,83,86,Left,Medium/Medium,,GK,2017-06-15,2024,GK,1,,,,,,,"Leadership, Swerve Pass, Flair Passes"
Y. Carrasco,25,180,71,Belgium,Dalian YiFang FC,83,86,Right,High/Medium,"#Speedster, #Acrobat",LM,2018-02-26,2021,SUB,11,90,80,75,87,39,64,"Injury Free, Selfish, Argues with Officials, Early Crosser"
Borja Iglesias,26,187,86,Spain,Real Betis,83,86,Right,High/Medium,"#Strength, #Clinical Finisher, #Complete Forward",ST,2019-08-14,2024,,,67,83,63,76,35,82,"Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only)"
K. Casteels,27,197,86,Belgium,VfL Wolfsburg,83,85,Left,Medium/Medium,,GK,2015-01-21,2021,SUB,13,,,,,,,Acrobatic Clearance
W. Zaha,26,180,66,Ivory Coast,Crystal Palace,83,85,Right,High/Low,"#Speedster, #Dribbler",LS,2015-02-02,2023,RW,9,91,76,72,88,27,74,"Injury Free, Selfish, Crowd Favourite"
Paco Alcácer,25,175,72,Spain,Borussia Dortmund,83,85,Right,Medium/Low,"#Poacher, #Clinical Finisher",ST,2018-11-23,2023,,,79,84,68,80,36,63,"Power Free-Kick, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot"
Morata,26,189,84,Spain,Atlético Madrid,83,85,Right,High/High,,LS,,2020,ST,7,81,79,71,80,31,72,Early Crosser
S. Haller,25,190,82,France,West Ham United,83,85,Right,High/Medium,,ST,2019-07-17,2024,,,72,81,62,76,51,82,
William Carvalho,27,187,83,Portugal,Real Betis,83,85,Right,Medium/Medium,#Strength,CDM,2018-07-13,2023,LCM,14,42,57,77,74,79,85,"Leadership, Finesse Shot"
F. Bernardeschi,25,185,77,Italy,Juventus,83,85,Left,High/Medium,#Dribbler,SUB,2017-07-24,2022,RW,20,81,75,81,87,60,66,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite"
D. Djené,27,178,72,Togo,Getafe CF,83,85,Right,Medium/High,,RCB,2017-07-24,2021,,,72,37,61,61,83,79,"Inflexible, Diver, Injury Prone, Leadership"
Oscar,27,181,71,Brazil,Shanghai SIPG FC,83,84,Right,High/Medium,#Acrobat,RCM,2017-01-01,2020,,,74,76,83,81,55,50,"Argues with Officials, Crowd Favourite"
K. Trapp,28,189,86,Germany,Eintracht Frankfurt,83,84,Right,Medium/Medium,,GK,2019-08-07,2024,SUB,12,,,,,,,Acrobatic Clearance
Bartra,28,184,73,Spain,Real Betis,83,84,Right,High/Medium,,RCB,2018-01-30,2023,,,73,61,73,72,82,74,"Injury Prone, Argues with Officials"
Pablo Sarabia,27,174,70,Spain,Paris Saint-Germain,83,84,Left,High/Medium,#Dribbler,SUB,2019-07-02,2024,,,75,76,82,84,57,57,"Speed Dribbler (CPU AI Only), Crowd Favourite"
J. Cillessen,30,185,83,Netherlands,Valencia CF,83,84,Right,Medium/Medium,,GK,2019-07-01,2023,GK,1,,,,,,,Acrobatic Clearance
Lucas Moura,26,174,70,Brazil,Tottenham Hotspur,83,84,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",SUB,2018-01-31,2024,,,92,79,76,87,42,66,"Injury Free, Selfish, Early Crosser"
F. Thauvin,26,179,70,France,Olympique de Marseille,83,84,Left,High/Medium,#Acrobat,RW,2017-07-01,2021,SUB,20,83,80,81,83,41,69,"Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite"
Jorginho,27,180,67,Italy,Chelsea,83,84,Right,Medium/Medium,#Playmaker  ,CDM,2018-07-16,2023,CM,8,55,63,84,81,70,73,Finesse Shot
G. Buffon,41,192,92,Italy,Juventus,83,83,Right,Medium/Medium,,SUB,2019-07-04,2024,,,,,,,,,"Giant Throw-in, Second Wind"
Casillas,38,185,84,Spain,FC Porto,83,83,Left,Medium/Medium,,RES,2015-07-12,2020,,,,,,,,,"Flair, Second Wind"
R. Jarstein,34,190,86,Norway,Hertha BSC,83,83,Right,Medium/Medium,,GK,2014-01-01,2021,GK,1,,,,,,,Acrobatic Clearance
V. Kompany,33,190,85,Belgium,RSC Anderlecht,83,83,Right,Medium/High,#Strength,LCB,2019-07-01,2022,CB,4,50,53,65,64,84,79,"Power Free-Kick, Injury Prone, Giant Throw-in"
Raúl Albiol,33,190,82,Spain,Villarreal CF,83,83,Right,Low/High,"#Tackling , #Tactician ",RCB,2019-07-04,2022,,,48,41,61,63,86,72,
F. Quagliarella,36,180,79,Italy,Sampdoria,83,83,Right,Medium/Medium,"#Distance Shooter, #Clinical Finisher",ST,2016-07-01,2020,SUB,21,69,89,75,80,30,65,"Avoids Using Weaker Foot, Beat Offside Trap, Leadership, Argues with Officials, Speed Dribbler (CPU AI Only)"
K. Schmeichel,32,189,89,Denmark,Leicester City,83,83,Right,Medium/Medium,,GK,2011-06-01,2023,GK,1,,,,,,,Avoids Using Weaker Foot
Falcao,33,177,72,Colombia,AS Monaco,83,83,Right,High/Medium,,LS,2013-07-01,2020,ST,9,65,82,69,77,43,72,"Beat Offside Trap, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)"
Miranda,34,186,78,Brazil,Jiangsu Suning FC,83,83,Right,Medium/High,,RCB,2019-07-26,2024,,,64,49,60,68,84,74,
C. Vela,30,177,77,Mexico,Los Angeles FC,83,83,Left,High/Low,,RW,2018-01-01,2022,,,80,82,78,84,31,67,"Avoids Using Weaker Foot, Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
E. Garay,32,189,90,Argentina,Valencia CF,83,83,Right,Medium/Medium,#Strength,RCB,2016-08-31,2020,,,43,60,67,62,82,81,Power Free-Kick
Rui Patrício,31,190,84,Portugal,Wolverhampton Wanderers,83,83,Left,Medium/Medium,,GK,2018-06-18,2022,GK,1,,,,,,,"Diver, Second Wind"
R. Nainggolan,31,176,77,Belgium,Cagliari,83,83,Right,High/High,"#Engine, #Tackling , #Tactician ",CAM,,2020,,,72,79,78,83,83,82,Argues with Officials
E. Banega,31,174,71,Argentina,Sevilla FC,83,83,Right,High/Medium,,RCM,2017-07-03,2020,,,61,73,84,82,77,70,"Selfish, Leadership, Finesse Shot, Speed Dribbler (CPU AI Only)"
Diego Costa,30,188,86,Spain,Atlético Madrid,83,83,Right,High/Medium,#Strength,SUB,2018-01-01,2021,,,73,82,64,75,49,85,"Power Free-Kick, Skilled Dribbling"
S. Khedira,32,189,90,Germany,Juventus,83,83,Right,Medium/High,#Strength,RES,2015-07-01,2021,,,51,74,78,77,80,80,Power Free-Kick
David Luiz,32,189,86,Brazil,Arsenal,83,83,Right,Medium/Medium,,LCB,2019-08-08,2021,,,61,65,74,70,82,77,"Long Throw-in, Leadership, Argues with Officials"
M. Kruse,31,180,76,Germany,Fenerbahçe SK,83,83,Left,High/Medium,,CAM,2019-07-04,2022,,,66,83,83,83,45,70,"Finesse Shot, Crowd Favourite"
J. Henderson,29,182,80,England,Liverpool,83,83,Right,High/High,#Engine,RCM,2011-06-09,2020,RCM,8,64,70,83,77,78,80,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Giant Throw-in"
G. Sigurðsson,29,186,77,Iceland,Everton,83,83,Right,High/High,"#Engine, #Crosser, #FK Specialist",CAM,2017-08-16,2022,CAM,10,56,81,84,80,57,69,"Diver, Beat Offside Trap, Argues with Officials, Finesse Shot"
A. Ramsey,28,183,76,Wales,Juventus,83,83,Right,High/High,#Engine,SUB,2019-07-01,2023,CAM,10,68,77,79,80,68,74,"Power Free-Kick, Argues with Officials"
Illarramendi,29,179,75,Spain,Real Sociedad,83,83,Right,Medium/High,#Tactician ,RCM,2015-08-26,2023,,,54,71,80,79,80,71,Finesse Shot
D. Blind,29,180,72,Netherlands,Ajax,83,83,Left,Medium/Medium,#Tactician ,LDM,2018-07-17,2022,LB,17,54,65,80,77,82,74,Giant Throw-in
L. Hrádecký,29,192,85,Finland,Bayer 04 Leverkusen,83,83,Right,Medium/Medium,,GK,2018-07-01,2023,GK,1,,,,,,,"Flair, Acrobatic Clearance"
N. Otamendi,31,183,81,Argentina,Manchester City,83,83,Right,Medium/High,,SUB,2015-08-20,2022,SUB,17,56,57,63,59,83,78,"Diver, Injury Prone, Long Passer (CPU AI Only)"
J. Cuadrado,31,179,72,Colombia,Juventus,83,83,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",SUB,2015-02-02,2020,RW,11,91,72,77,88,66,67,"Injury Free, Selfish, Argues with Officials, Crowd Favourite"
I. Gueye,29,174,66,Senegal,Paris Saint-Germain,83,83,Right,Medium/High,#Tactician ,SUB,2019-07-30,2023,,,73,59,70,78,85,78,Argues with Officials
K. Kampl,28,178,67,Slovenia,RB Leipzig,83,83,Right,High/High,"#Dribbler, #Engine, #Acrobat",CM,2017-08-31,2021,,,76,67,80,86,63,62,"Selfish, Crowd Favourite"
Rodrigo,28,182,77,Spain,Valencia CF,83,83,Left,High/Medium,,LS,2014-12-03,2022,SUB,9,90,80,74,82,44,70,"Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
C. Aránguiz,30,171,70,Chile,Bayer 04 Leverkusen,83,83,Right,Medium/Medium,,LCM,2015-08-13,2020,RCM,20,63,72,82,81,74,73,"Injury Prone, Finesse Shot, Speed Dribbler (CPU AI Only)"
W. Ben Yedder,28,170,68,France,AS Monaco,83,83,Right,High/High,#Acrobat,RS,2019-08-14,2024,,,84,82,77,85,39,61,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite"
F. Acerbi,31,192,88,Italy,Lazio,83,83,Left,Medium/Medium,"#Tackling , #Tactician , #Strength, #Complete Defender",CB,2018-07-11,2023,,,56,50,61,63,86,82,"Leadership, Long Passer (CPU AI Only)"
Danilo Pereira,27,188,83,Portugal,FC Porto,83,83,Right,Medium/High,#Strength,LCM,2015-07-02,2022,SUB,13,65,63,72,74,82,85,Avoids Using Weaker Foot
A. Kramarić,28,177,73,Croatia,TSG 1899 Hoffenheim,83,83,Right,Medium/Medium,"#Dribbler, #Clinical Finisher, #Complete Forward",LS,2015-01-16,2022,,,73,85,73,85,30,71,"Injury Free, Selfish, Argues with Officials, Outside Foot Shot, Crowd Favourite"
Louri Beretta,27,188,83,Brazil,Atlético Mineiro,83,83,Right,High/Low,#Strength,ST,2018-01-01,2022,ST,9,81,84,62,72,33,75,"Injury Free, Long Passer (CPU AI Only)"
Josué Chiamulera,27,185,80,Brazil,Grêmio,83,83,Right,Medium/Medium,,RCB,2018-01-01,2022,RCB,3,80,43,56,64,85,77,
Ronaldo Cabrais,27,177,75,Brazil,Grêmio,83,83,Right,High/Medium,,RM,2018-01-01,2022,RW,8,87,77,83,84,35,72,"Long Throw-in, Selfish, Argues with Officials, Crowd Favourite"
Oyarzabal,22,181,78,Spain,Real Sociedad,82,89,Left,High/Medium,#Clinical Finisher,LW,2014-07-01,2024,,,75,82,79,83,39,61,Early Crosser
L. Bailey,21,178,79,Jamaica,Bayer 04 Leverkusen,82,88,Left,Medium/Medium,"#Speedster, #Dribbler, #Acrobat",LM,2017-01-31,2023,,,91,77,75,84,33,64,"Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite"
Gabriel Jesus,22,175,73,Brazil,Manchester City,82,88,Right,High/High,"#Dribbler, #Acrobat",SUB,2016-08-03,2023,,,85,80,72,86,39,71,"Selfish, Outside Foot Shot, Crowd Favourite"
M. Kovačić,25,176,78,Croatia,Chelsea,82,87,Right,High/High,#Dribbler,SUB,2019-07-01,2024,,,76,68,81,86,67,70,"Selfish, Finesse Shot, Crowd Favourite"
A. Belotti,25,181,72,Italy,Torino,82,87,Right,High/High,,ST,2015-08-18,2021,SUB,9,77,81,57,77,41,82,"Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)"
T. Strakosha,24,193,78,Albania,Lazio,82,87,Right,Medium/Medium,,GK,2012-08-09,2023,,,,,,,,,"Swerve Pass, Second Wind"
N. Keïta,24,172,64,Guinea,Liverpool,82,87,Right,High/Medium,"#Dribbler, #Acrobat",SUB,2018-07-01,2023,,,71,73,76,88,65,66,"Selfish, Argues with Officials, Crowd Favourite"
L. Torreira,23,168,64,Uruguay,Arsenal,82,87,Right,Medium/High,,RDM,2018-07-12,2023,,,75,67,77,80,81,75,Argues with Officials
Rúben Neves,22,180,80,Portugal,Wolverhampton Wanderers,82,87,Right,Medium/High,,CM,2017-07-08,2023,CDM,18,62,74,83,76,70,73,"Leadership, Argues with Officials, Finesse Shot"
P. Kimpembe,23,189,80,France,Paris Saint-Germain,82,87,Left,High/High,,SUB,2015-07-01,2023,SUB,3,75,39,67,67,81,83,
S. Bergwijn,21,178,78,Netherlands,PSV,82,87,Right,Medium/Medium,#Dribbler,CAM,2014-07-01,2023,RM,7,89,75,76,85,40,73,"Selfish, Early Crosser, Crowd Favourite"
A. Onana,23,187,93,Cameroon,Ajax,82,87,Right,Medium/Medium,,GK,2015-01-14,2022,GK,1,,,,,,,Swerve Pass
Nélson Semedo,25,177,67,Portugal,FC Barcelona,82,87,Right,Medium/High,"#Speedster, #Acrobat",RB,2017-07-14,2022,RB,20,92,57,69,81,77,75,Early Crosser
A. Areola,26,195,94,France,Paris Saint-Germain,82,86,Right,Medium/Medium,,GK,2010-07-01,2023,SUB,16,,,,,,,Acrobatic Clearance
M. Perin,26,188,77,Italy,Juventus,82,86,Right,Medium/Medium,,SUB,2018-07-01,2022,,,,,,,,,"Power Free-Kick, Second Wind"
D. Rugani,24,190,84,Italy,Juventus,82,86,Right,Low/Medium,,RES,2015-02-04,2023,,,64,39,55,64,85,74,"Diver, Long Passer (CPU AI Only)"
A. Correa,24,171,68,Argentina,Atlético Madrid,82,86,Right,High/Medium,"#Dribbler, #Acrobat",SUB,2014-12-13,2024,,,83,80,75,86,54,65,"Selfish, Crowd Favourite"
Iñaki Williams,25,186,79,Spain,Athletic Club de Bilbao,82,86,Right,High/High,#Speedster,RW,2012-08-01,2025,,,94,80,72,80,41,82,"Early Crosser, Speed Dribbler (CPU AI Only), Giant Throw-in, Outside Foot Shot"
H. Lozano,23,175,70,Mexico,PSV,82,86,Right,High/Low,"#Speedster, #Acrobat",RW,2017-07-21,2023,LW,22,93,76,73,83,41,66,"Early Crosser, Speed Dribbler (CPU AI Only)"
Gelson Martins,24,173,74,Portugal,AS Monaco,82,86,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",RM,2019-07-01,2024,,,95,71,74,86,47,61,"Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite"
